cal,VENDER,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_bkg
1pt,120,medium,normal,120,High Density,141.3,127.08639250372073,50.868,46.37162372347004,5.652,5.073402325594266,-0.06658302972825096
1pt,120,large,low,120,Low Density,4.415625,3.4145358282752394,1.589625,1.9351046710952513,0.176625,0.6171426546349467,-0.38444943797203107
1pt,120,large,low,120,Medium Density,8.83125,8.205675335593222,3.17925,3.798403630837121,0.35325,-0.0717350926040705,-0.38444943797203107
1pt,120,large,low,120,High Density,17.6625,15.681799008769179,6.3585,5.445996066275537,0.7065,0.815552361085218,-0.38444943797203107
1pt,120,large,normal,120,Low Density,35.325,33.87504037574114,12.717,12.314264289666491,1.413,1.4967435249406176,-0.04905565177314057
1pt,120,large,normal,120,Medium Density,70.65,64.95512513296917,25.434,23.576933900685294,2.826,3.537987010673343,-0.04905565177314057
1pt,120,large,normal,120,High Density,141.3,124.66922259166296,50.868,45.36686805217275,5.652,5.6656775351939395,-0.04905565177314057
1pt,135,small,low,135,Low Density,4.415625,5.620975645925137,1.589625,0.9376500732394363,0.176625,0.05650795748123762,-0.15429756191207528
1pt,135,small,low,135,Medium Density,8.83125,9.092477868152072,3.17925,3.235206241639368,0.35325,0.8053714051455887,-0.15429756191207528
1pt,135,small,low,135,High Density,17.6625,15.009883410090687,6.3585,5.49222943049663,0.7065,1.1395423248911447,-0.15429756191207528
1pt,135,small,normal,135,Low Density,35.325,34.960834185365854,12.717,13.415980200966752,1.413,1.738837329165853,-0.5530383928752877
1pt,135,small,normal,135,Medium Density,70.65,67.81387343442096,25.434,24.55030837109281,2.826,3.2380474989757406,-0.5530383928752877
1pt,135,small,normal,135,High Density,141.3,131.75587234346273,50.868,47.86845296520298,5.652,5.304721415542122,-0.5530383928752877
1pt,135,medium,low,135,Low Density,4.415625,5.009504238341359,1.589625,1.001980142044088,0.176625,0.1885111257315619,0.34764432427771885
1pt,135,medium,low,135,Medium Density,8.83125,9.00933294658408,3.17925,2.7863547737512238,0.35325,0.2777603355984804,0.34764432427771885
1pt,135,medium,low,135,High Density,17.6625,16.919175615729067,6.3585,5.923638675003401,0.7065,0.3522683971004784,0.34764432427771885
1pt,135,medium,normal,135,Low Density,35.325,34.29908006280256,12.717,12.86203242791327,1.413,0.9088485908662497,-0.34171277105259223
1pt,135,medium,normal,135,Medium Density,70.65,64.96722356951487,25.434,23.942715052173302,2.826,2.5186873039168,-0.34171277105259223
1pt,135,medium,normal,135,High Density,141.3,125.9478064469442,50.868,45.43946008310897,5.652,4.402086187580035,-0.34171277105259223
1pt,135,large,low,135,Low Density,4.415625,4.20754816312043,1.589625,1.7090006826531117,0.176625,0.37678118454153076,-0.004499631848723114
1pt,135,large,low,135,Medium Density,8.83125,8.66682115752336,3.17925,3.311652245732271,0.35325,0.6347637563516532,-0.004499631848723114
1pt,135,large,low,135,High Density,17.6625,15.574397436055472,6.3585,5.477051869585573,0.7065,1.199414290423872,-0.004499631848723114
1pt,135,large,normal,135,Low Density,35.325,33.89873247543731,12.717,12.842942200329682,1.413,1.572705528271138,-0.6024095112668398
1pt,135,large,normal,135,Medium Density,70.65,65.21699324302907,25.434,23.0149476571857,2.826,3.358855009126467,-0.6024095112668398
1pt,135,large,normal,135,High Density,141.3,123.06918759275754,50.868,44.26899639176463,5.652,5.316560326276786,-0.6024095112668398
3pt,80,small,low,80,Low Density,4.415625,4.460976345554889,1.589625,1.7850073086685965,0.176625,-0.037384016727190786,0.31667014316982184
3pt,80,small,low,80,Medium Density,8.83125,9.385588254592406,3.17925,3.403077851666059,0.35325,0.8360207342737301,0.31667014316982184
3pt,80,small,low,80,High Density,17.6625,18.301649519154676,6.3585,6.381001145109374,0.7065,0.03444275521750184,0.31667014316982184
3pt,80,small,normal,80,Low Density,35.325,38.45497847144092,12.717,14.078632868063076,1.413,1.9469848032131911,-0.2954199798922182
3pt,80,small,normal,80,Medium Density,70.65,72.92548774784154,25.434,27.440968721230487,2.826,2.850585107568019,-0.2954199798922182
3pt,80,small,normal,80,High Density,141.3,145.46408528311468,50.868,52.15023130046305,5.652,6.040575988788419,-0.2954199798922182
3pt,80,medium,low,80,Low Density,4.415625,5.918493724030283,1.589625,2.8438540645505026,0.176625,-0.03771848278157565,0.38308008078856737
3pt,80,medium,low,80,Medium Density,8.83125,10.485521956322183,3.17925,3.3071076328530307,0.35325,0.8235890530750976,0.38308008078856737
3pt,80,medium,low,80,High Density,17.6625,18.473997460528928,6.3585,6.855516175704526,0.7065,1.0655961650684143,0.38308008078856737
3pt,80,medium,normal,80,Low Density,35.325,36.58356809512198,12.717,13.161761654385632,1.413,2.1396187204409465,-0.39064640601795025
