VENDER,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_bkg
80,small,low,80,Low Density,4.415625,2.303406901772199,1.589625,1.1820769376488938,0.176625,0.3956252919055687,0.4094646954168435
80,small,low,80,Medium Density,8.83125,6.623068362184231,3.17925,3.158140427563477,0.35325,0.34010809476386905,0.4094646954168435
80,small,low,80,High Density,17.6625,17.008314242956637,6.3585,6.299765032149249,0.7065,1.3083074691995922,0.4094646954168435
80,small,normal,80,Low Density,35.325,36.555385959388296,12.717,12.070013041476807,1.413,1.7015667242693233,-0.4633642626312634
80,small,normal,80,Medium Density,70.65,71.02399269918625,25.434,25.638044754798628,2.826,2.947511604099336,-0.4633642626312634
80,small,normal,80,High Density,141.3,140.9980828272553,50.868,50.70555941497585,5.652,5.928600801493285,-0.4633642626312634
80,medium,low,80,Low Density,4.415625,8.380646306418798,1.589625,0.39384945722697373,0.176625,0.48523768920043503,1.5135087216148009
80,medium,low,80,Medium Density,8.83125,8.049049005533407,3.17925,3.6950360173164962,0.35325,1.0922352292428215,1.5135087216148009
80,medium,low,80,High Density,17.6625,17.613335567778858,6.3585,7.445200359301371,0.7065,-1.4486944475240162,1.5135087216148009
80,medium,normal,80,Low Density,35.325,37.460951978661164,12.717,14.60850163077364,1.413,1.5014976968261662,0.5128075365329949
80,medium,normal,80,Medium Density,70.65,69.52628138539748,25.434,27.1172993415109,2.826,3.850530415086723,0.5128075365329949
80,medium,normal,80,High Density,141.3,140.94485146736798,50.868,49.901226265165135,5.652,6.316448999350455,0.5128075365329949
80,large,low,80,Low Density,4.415625,4.55970298929838,1.589625,2.914040053597154,0.176625,-0.39198543553609055,0.6489675249833605
80,large,low,80,Medium Density,8.83125,5.398682586985732,3.17925,2.0201598561953062,0.35325,0.3372323287574987,0.6489675249833605
80,large,low,80,High Density,17.6625,13.277664144410018,6.3585,6.933761490849384,0.7065,0.304138965678194,0.6489675249833605
80,large,normal,80,Low Density,35.325,35.71605626283936,12.717,11.383435299041096,1.413,2.202532123728948,-0.5149382662219943
80,large,normal,80,Medium Density,70.65,72.25022458343071,25.434,24.444965066797977,2.826,2.856046253293397,-0.5149382662219943
80,large,normal,80,High Density,141.3,141.6017790951868,50.868,54.21154973924605,5.652,5.5258063596386195,-0.5149382662219943
100,small,low,100,Low Density,4.415625,3.7465110089292732,1.589625,1.9448475582472158,0.176625,0.43695175036789213,-0.3033612338845293
100,small,low,100,Medium Density,8.83125,6.5204513223947735,3.17925,3.9246680387401627,0.35325,-0.1193873169632419,-0.3033612338845293
100,small,low,100,High Density,17.6625,16.853852878955486,6.3585,6.309904952282459,0.7065,1.1051871128728192,-0.3033612338845293
100,small,normal,100,Low Density,35.325,36.86360128080863,12.717,13.27325180874442,1.413,1.6285632560246026,0.019538768700978478
100,small,normal,100,Medium Density,70.65,69.72524982607656,25.434,24.949807973680954,2.826,2.7794497337155337,0.019538768700978478
100,small,normal,100,High Density,141.3,138.9514920967271,50.868,49.872884115339744,5.652,5.401829099022464,0.019538768700978478
100,medium,low,100,Low Density,4.415625,3.4492331017633497,1.589625,3.595369376367844,0.176625,0.5022103091982538,-0.6103024755345944
100,medium,low,100,Medium Density,8.83125,11.17894328729865,3.17925,4.719786430710935,0.35325,0.0060426407199922275,-0.6103024755345944
100,medium,low,100,High Density,17.6625,17.724878818646953,6.3585,6.622753761812004,0.7065,0.6369684580462762,-0.6103024755345944
100,medium,normal,100,Low Density,35.325,36.992296985901795,12.717,14.182328375681932,1.413,0.9639318593301219,0.6966416007401421
100,medium,normal,100,Medium Density,70.65,69.87880048316386,25.434,26.71746289636563,2.826,1.4445603240056777,0.6966416007401421
100,medium,normal,100,High Density,141.3,137.06593280333263,50.868,49.59548132993903,5.652,5.500788410719605,0.6966416007401421
100,large,low,100,Low Density,4.415625,2.7470966117829274,1.589625,1.4398218657623545,0.176625,0.7891136032023913,0.17165633765637478
100,large,low,100,Medium Density,8.83125,2.3315426318121317,3.17925,3.3318503050663133,0.35325,1.9018147307841695,0.17165633765637478
100,large,low,100,High Density,17.6625,12.577779351291813,6.3585,6.329326717577629,0.7065,0.20089229421121624,0.17165633765637478
100,large,normal,100,Low Density,35.325,35.565903809989145,12.717,11.602957853517225,1.413,1.548588153948911,-0.9708526829261803
100,large,normal,100,Medium Density,70.65,72.84502141947324,25.434,23.801745362244738,2.826,3.520640995815486,-0.9708526829261803
100,large,normal,100,High Density,141.3,137.34442118111122,50.868,52.67869612003772,5.652,5.698190677069785,-0.9708526829261803
120,small,low,120,Low Density,4.415625,3.6001245013463006,1.589625,0.8881646120753294,0.176625,-0.13986149062636508,0.08166635286367822
120,small,low,120,Medium Density,8.83125,11.840017046301824,3.17925,3.4161783021036336,0.35325,-0.6241283986854258,0.08166635286367822
120,small,low,120,High Density,17.6625,16.03571238202795,6.3585,5.656208036520481,0.7065,0.6033666881161288,0.08166635286367822
120,small,normal,120,Low Density,35.325,36.20300954038461,12.717,12.643057955404238,1.413,1.544000197325,-0.13776254383304282
120,small,normal,120,Medium Density,70.65,71.31785991566952,25.434,25.8351323518629,2.826,3.293100746448074,-0.13776254383304282
120,small,normal,120,High Density,141.3,139.31760654574452,50.868,50.26718575943186,5.652,6.059295817762872,-0.13776254383304282
120,medium,low,120,Low Density,4.415625,3.130108109866003,1.589625,5.750646248942079,0.176625,-1.2547540289951251,0.5493948197915213
120,medium,low,120,Medium Density,8.83125,15.014141766215971,3.17925,6.220612920725912,0.35325,0.5627521707602846,0.5493948197915213
120,medium,low,120,High Density,17.6625,20.26062252989213,6.3585,6.292834339377311,0.7065,-0.7105213852983945,0.5493948197915213
