VENDOR,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_bkg
80,small,low,80,Low Density,4.415625,4.905048487954902,1.589625,1.7589778210384717,0.17662500000000003,0.025585883216935574,-0.4984312813235178
80,small,low,80,Medium Density,8.83125,8.909175883834312,3.17925,3.8300226073122823,0.35325000000000006,0.2115812592580058,-0.015504868429457992
80,small,low,80,High Density,17.6625,17.71924606755351,6.3585,6.571243033830027,0.7065000000000001,0.9666017634044852,0.04773820650314186
80,small,normal,80,Low Density,35.325,36.23659226986947,12.717,12.700627717416493,1.4130000000000003,1.226285503106831,-0.40032598243087797
80,small,normal,80,Medium Density,70.65,71.37005025665137,25.434,25.02431890939137,2.8260000000000005,2.918397244404118,-0.402348001900841
80,small,normal,80,High Density,141.3,142.7818002631221,50.868,50.8093656422142,5.652000000000001,6.115592444610499,0.05598809618666657
80,medium,low,80,Low Density,4.415625,4.579656955696332,1.589625,0.9159991823521765,0.17662500000000003,0.4464935923912876,0.2261345562600815
80,medium,low,80,Medium Density,8.83125,8.887447406160993,3.17925,3.5822119420507854,0.35325000000000006,-0.2087294130087196,-0.01660103366353184
80,medium,low,80,High Density,17.6625,17.716159807595588,6.3585,6.2187858224696315,0.7065000000000001,1.2387385735475465,0.038247749641746896
80,medium,normal,80,Low Density,35.325,36.744725786256176,12.717,13.509430749618986,1.4130000000000003,1.270495298772836,1.478579745386455
80,medium,normal,80,Medium Density,70.65,70.59976560448645,25.434,26.127744969720545,2.8260000000000005,3.2990733435711905,0.7030959571940185
80,medium,normal,80,High Density,141.3,140.9633868389179,50.868,51.19764635244293,5.652000000000001,5.458975311637879,0.0927593130894932
80,large,low,80,Low Density,4.415625,4.587822040264928,1.589625,1.9829417285614193,0.17662500000000003,0.28514124395846235,-1.0103613381094423
80,large,low,80,Medium Density,8.83125,7.9917824219481135,3.17925,2.4255800734065454,0.35325000000000006,0.6743691296515215,-0.8076278558321359
80,large,low,80,High Density,17.6625,17.749223911257783,6.3585,6.074096420231661,0.7065000000000001,1.043748625126121,-0.21984338555039878
80,large,normal,80,Low Density,35.325,34.92887786979501,12.717,13.567616170928467,1.4130000000000003,1.4056053742652914,-0.764661441916675
80,large,normal,80,Medium Density,70.65,68.98894780566305,25.434,25.245028490839708,2.8260000000000005,3.0676429283332793,-0.35569294869308155
80,large,normal,80,High Density,141.3,138.88773153252555,50.868,50.74453827777164,5.652000000000001,6.134392697777409,-0.08455783476922213
100,small,low,100,Low Density,4.415625,4.300385424804648,1.589625,2.5143619494288423,0.17662500000000003,-0.012882227395303859,-0.3921058201442106
100,small,low,100,Medium Density,8.83125,8.86096608867458,3.17925,3.1968965923599613,0.35325000000000006,0.17814790249674597,-0.4930672915377907
