VENDOR,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_bkg
80,small,low,80-motion,Low Density,4.415625,4.922222971524348,1.589625,1.7422470897784266,0.17662500000000003,-0.061704682483746304,0.3107053216701635
80,small,low,80-motion,Medium Density,8.83125,8.961073956022187,3.17925,3.7979160391407656,0.35325000000000006,0.14211300426208687,-0.19961300990799935
80,small,low,80-motion,High Density,17.6625,17.758330934781192,6.3585,6.65485413325742,0.7065000000000001,0.7551433523830466,-0.031922997215233374
80,small,normal,80-motion,Low Density,35.325,36.00231541773808,12.717,13.094024699009907,1.4130000000000003,1.0014436157356215,0.1767099155303487
80,small,normal,80-motion,Medium Density,70.65,70.8016026766072,25.434,23.863338739355413,2.8260000000000005,2.286716490743738,0.12682688304652093
80,small,normal,80-motion,High Density,141.3,139.28569065926087,50.868,49.2142166673997,5.652000000000001,4.68496460221705,-0.31931636859765833
80,medium,low,80-motion,Low Density,4.415625,4.750634112247332,1.589625,1.0758007908852398,0.17662500000000003,0.39099214049993214,-0.3523398327554925
80,medium,low,80-motion,Medium Density,8.83125,8.943023699031555,3.17925,3.5257459698207736,0.35325000000000006,-0.016747488326191745,-0.5496123762019022
80,medium,low,80-motion,High Density,17.6625,17.777596906481374,6.3585,6.3417665276503685,0.7065000000000001,1.2136916336113341,0.36883832983869386
80,medium,normal,80-motion,Low Density,35.325,36.32009049284752,12.717,13.122279150427184,1.4130000000000003,1.3068682016393272,1.0141169837014121
80,medium,normal,80-motion,Medium Density,70.65,69.74788488301402,25.434,24.344539009491285,2.8260000000000005,1.9537919290998091,0.40366165475249594
80,medium,normal,80-motion,High Density,141.3,137.16590852617924,50.868,50.04049868944446,5.652000000000001,3.605512591456654,-0.22330556091370912
80,large,low,80-motion,Low Density,4.415625,4.637466070892425,1.589625,2.0746609211653073,0.17662500000000003,0.23083856515464754,-0.4237938511271505
80,large,low,80-motion,Medium Density,8.83125,7.951055922656166,3.17925,2.5652386483660745,0.35325000000000006,0.7062968673616775,-0.6947364112026071
80,large,low,80-motion,High Density,17.6625,17.860201292653034,6.3585,6.1129182073585016,0.7065000000000001,1.049773685719979,-0.15597232939285832
80,large,normal,80-motion,Low Density,35.325,35.19577008929392,12.717,13.872088983121836,1.4130000000000003,1.5597486474376876,-0.1368888780416759
80,large,normal,80-motion,Medium Density,70.65,68.89895923522661,25.434,25.024720276831115,2.8260000000000005,2.5669668535457166,-0.5738399368780746
80,large,normal,80-motion,High Density,141.3,138.09947410779043,50.868,50.694467014635386,5.652000000000001,5.023022777580081,0.4009788165078306
100,small,low,100-motion,Low Density,4.415625,4.4582991994817185,1.589625,2.4630123712018452,0.17662500000000003,0.08759188508145052,0.4018577172271338
100,small,low,100-motion,Medium Density,8.83125,8.961616872654066,3.17925,3.2650130985308197,0.35325000000000006,0.17551713934337562,-0.20349001334938036
100,small,low,100-motion,High Density,17.6625,17.77107001298564,6.3585,7.112997791440051,0.7065000000000001,0.8219785668704376,0.09859183105330804
100,small,normal,100-motion,Low Density,35.325,35.77276588255146,12.717,13.566100660165972,1.4130000000000003,1.7459710394493202,0.06932848342464078
100,small,normal,100-motion,Medium Density,70.65,70.87370156588324,25.434,26.08032994070018,2.8260000000000005,3.3499541310513035,-0.4087409996115482
100,small,normal,100-motion,High Density,141.3,142.37143910741773,50.868,51.232677945731716,5.652000000000001,6.349503482884872,0.17898223926740112
100,medium,low,100-motion,Low Density,4.415625,5.152762776921676,1.589625,1.8426963139756198,0.17662500000000003,-0.05671522705119786,0.5022310363511738
100,medium,low,100-motion,Medium Density,8.83125,8.65709651966701,3.17925,4.085294692974445,0.35325000000000006,0.569833945433663,-0.3241143458490272
100,medium,low,100-motion,High Density,17.6625,18.10686328418132,6.3585,6.699599790208097,0.7065000000000001,0.8310062249692056,0.03509755499321401
100,medium,normal,100-motion,Low Density,35.325,35.42859343742321,12.717,13.205462464682459,1.4130000000000003,1.1606987937186724,0.10612529443489278
100,medium,normal,100-motion,Medium Density,70.65,69.36014390223927,25.434,24.965150959507362,2.8260000000000005,2.465584587011284,0.043256545418812214
100,medium,normal,100-motion,High Density,141.3,138.41688385834968,50.868,49.748498413275684,5.652000000000001,4.533996541536045,-0.24350966521184075
100,large,low,100-motion,Low Density,4.415625,4.7859415483515875,1.589625,1.0875135083041048,0.17662500000000003,0.3737788183299731,0.04908846401463365
100,large,low,100-motion,Medium Density,8.83125,8.87951202444669,3.17925,3.3079034852504883,0.35325000000000006,0.20454906528088612,0.4295302932907909
100,large,low,100-motion,High Density,17.6625,17.40827070950121,6.3585,6.654736842080874,0.7065000000000001,0.8148765583509431,-0.14215277495881973
100,large,normal,100-motion,Low Density,35.325,35.80624510015854,12.717,13.57481233553374,1.4130000000000003,1.0430940153970267,-0.2621023049862141
100,large,normal,100-motion,Medium Density,70.65,70.62329959117054,25.434,24.573800914002152,2.8260000000000005,1.9030527005298685,-0.13116186920889805
100,large,normal,100-motion,High Density,141.3,137.23301337685749,50.868,51.32166653310815,5.652000000000001,3.9211199053563925,0.04185493363669219
120,small,low,120-motion,Low Density,4.415625,4.450893913353312,1.589625,1.7896731903587502,0.17662500000000003,-0.07863736434834934,-0.703486476802964
120,small,low,120-motion,Medium Density,8.83125,9.019041902874504,3.17925,3.3372906080905276,0.35325000000000006,0.6743404964069889,0.11980928029519078
