VENDER,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_bkg
80,small,low,80,Low Density,4.415625,4.447108353522743,1.589625,1.530255541155013,0.176625,-0.10415330216948525,0.0974800127451953
80,small,low,80,Medium Density,8.83125,8.197282804474403,3.17925,3.3544033445118604,0.35325,0.2723817459922543,0.0974800127451953
80,small,low,80,High Density,17.6625,18.288315008743183,6.3585,6.477462778019363,0.7065,0.9451543234773425,0.0974800127451953
80,small,normal,80,Low Density,35.325,36.83195246869276,12.717,12.878640110654738,1.413,1.1778205743411712,-0.015450513215700483
80,small,normal,80,Medium Density,70.65,70.90135958790938,25.434,24.606603394476583,2.826,2.82883169052481,-0.015450513215700483
80,small,normal,80,High Density,141.3,140.53352085369474,50.868,50.33734272834434,5.652,5.968690984056515,-0.015450513215700483
80,medium,low,80,Low Density,4.415625,4.6271360900917236,1.589625,0.4812964546611527,0.176625,0.35248149751028374,0.17282602470817537
80,medium,low,80,Medium Density,8.83125,8.561082857912337,3.17925,3.586921859383692,0.35325,-0.21457208397734304,0.17282602470817537
80,medium,low,80,High Density,17.6625,18.503776449845645,6.3585,7.192019559009885,0.7065,1.336442926156675,0.17282602470817537
80,medium,normal,80,Low Density,35.325,38.54509248892998,12.717,13.92314959817618,1.413,1.3331735623505248,-0.1766691067334561
80,medium,normal,80,Medium Density,70.65,71.37384014313845,25.434,26.735753760968187,2.826,3.3969531522422898,-0.1766691067334561
80,medium,normal,80,High Density,141.3,139.6735442911557,50.868,50.93857915401432,5.652,5.491681578848154,-0.1766691067334561
80,large,low,80,Low Density,4.415625,4.724721800652122,1.589625,1.7716226483579125,0.176625,0.1317227022688919,-0.27141154143671126
80,large,low,80,Medium Density,8.83125,8.087222793421764,3.17925,2.2070952630539575,0.35325,0.7043325300480577,-0.27141154143671126
80,large,low,80,High Density,17.6625,16.04782839146264,6.3585,5.647696330321045,0.7065,0.9237662268828069,-0.27141154143671126
80,large,normal,80,Low Density,35.325,37.04730177668947,12.717,14.586390906774378,1.413,1.6169410873587857,-0.05130232200448111
80,large,normal,80,Medium Density,70.65,70.214083421079,25.434,25.88156718758343,2.826,3.1122421708907027,-0.05130232200448111
80,large,normal,80,High Density,141.3,138.72452118327539,50.868,51.17363855749349,5.652,6.252030100341064,-0.05130232200448111
100,small,low,100,Low Density,4.415625,3.884396949037665,1.589625,2.1741314890192878,0.176625,0.12600572256648876,-0.11598709555000374
