VENDOR,scan,inserts,ground_truth_mass_large,ground_truth_mass_medium,ground_truth_mass_small,calculated_swcs_large,calculated_swcs_medium,calculated_swcs_small,swcs_bkg
Canon_Aquilion_One_Vision,Large_rep1,Low Density,35.325,12.717,1.4130000000000003,146.7045406863879,31.093568442235384,0.7946758144607358,1.6752342374656486e-6
Canon_Aquilion_One_Vision,Large_rep1,Medium Density,70.65,25.434,2.8260000000000005,228.76474110563183,57.4650158570961,0.9165764352815959,1.6750685678643627e-6
Canon_Aquilion_One_Vision,Large_rep1,High Density,141.3,50.868,5.652000000000001,352.2460542753709,72.443433159394,7.88440664943389,1.6749058491211151e-6
Canon_Aquilion_One_Vision,Large_rep3,Low Density,35.325,12.717,1.4130000000000003,155.73218725765028,37.76538609473209,1.509792015851875,1.6752342374656486e-6
Canon_Aquilion_One_Vision,Large_rep3,Medium Density,70.65,25.434,2.8260000000000005,272.4920346143847,54.18102783852909,2.1305399804246337,1.6750685678643627e-6
Canon_Aquilion_One_Vision,Large_rep3,High Density,141.3,50.868,5.652000000000001,315.4721093739465,80.62946853685142,4.883373818660005,1.6749058491211151e-6
Canon_Aquilion_One_Vision,Small_rep1,Low Density,35.325,12.717,1.4130000000000003,142.71961806617577,13.140499280255426,0.01200398566136944,1.6752342374656484e-6
Canon_Aquilion_One_Vision,Small_rep1,Medium Density,70.65,25.434,2.8260000000000005,193.80088318292383,43.929325119742956,0.04207581784775837,1.6750685678643627e-6
Canon_Aquilion_One_Vision,Small_rep1,High Density,141.3,50.868,5.652000000000001,306.82148641781146,58.321693031515174,1.6760676301821211,1.6749058491211151e-6
Canon_Aquilion_One_Vision,Small_rep3,Low Density,35.325,12.717,1.4130000000000003,141.9939743968938,25.913489765767658,0.030585215625190437,1.6752342374656484e-6
Canon_Aquilion_One_Vision,Small_rep3,Medium Density,70.65,25.434,2.8260000000000005,199.30297384423693,40.47758801491742,0.0359973991599174,1.6750685678643627e-6
Canon_Aquilion_One_Vision,Small_rep3,High Density,141.3,50.868,5.652000000000001,259.33183694593583,83.6079499954088,0.8089589178192378,1.6749058491211151e-6
