VENDER,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,calculated_swcs_large,calculated_swcs_medium,calculated_swcs_small,swcs_bkg
120,small,normal,120,Low Density,35.325,36.30421822294896,12.717,12.282417904741967,1.413,0.0,272.15232775788377,117.89987654959214,37.6356556626347,26.715244895938195
120,small,normal,120,Medium Density,70.65,73.33670561787282,25.434,25.71106815841835,2.826,2.8956615555263028,324.528212455395,147.82403824386668,47.49247428224967,26.715244895938195
120,small,normal,120,High Density,141.3,144.26220699896786,50.868,51.91450960484582,5.652,5.816654212686515,366.4432949547439,176.49378893058804,55.822396561369786,26.715244895938195
120,medium,low,120,Low Density,4.415625,6.160275220776314,1.589625,15.748492598912916,0.176625,0.0,68.3837193397778,81.61028643952292,50.36800935709133,37.9192634068227
120,medium,low,120,Medium Density,8.83125,14.33223176299066,3.17925,8.256165646490448,0.35325,3.26198506932953,138.2368447097116,100.76323259714982,63.83651630622043,37.9192634068227
120,medium,low,120,High Density,17.6625,15.499267204812194,6.3585,4.9528168684003395,0.7065,0.0,155.7944402827968,82.3113663514858,58.91044923793416,37.9192634068227
120,medium,normal,120,Low Density,35.325,38.18553417805912,12.717,18.300642136784674,1.413,0.0,296.53886356836904,150.46219684560575,52.69359213718033,37.9192634068227
120,medium,normal,120,Medium Density,70.65,71.93960063176003,25.434,26.47877288075486,2.826,4.539024996848415,336.93846518730396,163.9881955616241,69.74332030375649,37.9192634068227
120,medium,normal,120,High Density,141.3,144.8942392420961,50.868,52.124149018952004,5.652,7.009746737322616,391.32220669685125,196.678590623572,74.63252111368855,37.9192634068227
120,large,low,120,Low Density,4.415625,12.628008892060475,1.589625,25.698718430992194,0.176625,37.38602809441242,142.54290216646135,142.10506982622022,119.13396093619387,51.02355642769442
120,large,low,120,Medium Density,8.83125,27.846851206026564,3.17925,44.570787858685186,0.35325,22.540793468804505,242.69661446484457,204.24415533725977,103.50227546429598,51.02355642769442
120,large,low,120,High Density,17.6625,48.55565011073302,6.3585,34.957139206125774,0.7065,29.487180756342344,233.66308796849717,180.14278498548939,121.97400585571184,51.02355642769442
120,large,normal,120,Low Density,35.325,39.95748778972092,12.717,20.923859356336795,1.413,4.883276858275172,300.5979889042367,180.67515262676693,87.42534712306347,51.02355642769442
120,large,normal,120,Medium Density,70.65,76.20349888515835,25.434,78.39652068575323,2.826,14.983121710091227,351.1525822228389,227.26762929327901,101.04123587673607,51.02355642769442
120,large,normal,120,High Density,141.3,141.70216978670408,50.868,82.1722114554562,5.652,10.792064901983307,389.09825068037804,231.9255717789691,101.97072238374935,51.02355642769442
135,small,low,135,Low Density,4.415625,0.0,1.589625,0.0,0.176625,0.0,56.67720573042696,51.27046945614603,49.1665586242068,44.969875598531345
135,small,low,135,Medium Density,8.83125,2.0239889728137075,3.17925,0.0,0.35325,0.0,72.04014762747681,55.975546856717386,47.8121112686495,44.969875598531345
135,small,low,135,High Density,17.6625,14.944201707910919,6.3585,4.6210250292882495,0.7065,0.0,155.96997289900492,83.2020752977675,47.73817375429626,44.969875598531345
135,small,normal,135,Low Density,35.325,36.7216567215682,12.717,12.72364425872518,1.413,1.062802440045387,293.64065974507514,134.97793601681335,55.65322779785494,44.969875598531345
135,small,normal,135,Medium Density,70.65,73.60323355950686,25.434,25.510590230180338,2.826,2.353824212827793,342.4849685120087,163.00043372279362,64.97239877474706,44.969875598531345
135,small,normal,135,High Density,141.3,143.98974061160362,50.868,51.184432245822194,5.652,6.068635249350072,383.5000441536002,194.52233638992737,74.65919897632911,44.969875598531345
135,medium,low,135,Low Density,4.415625,3.370640346412264,1.589625,0.0,0.176625,0.0,99.6843280088012,95.56346611311449,81.46466003490988,63.829652446479145
135,medium,low,135,Medium Density,8.83125,25.07700484337879,3.17925,13.82167286583715,0.35325,0.0,156.7110132678,125.10681233167342,83.50374203726513,63.829652446479145
135,medium,low,135,High Density,17.6625,15.56491947442294,6.3585,7.48843274304644,0.7065,0.0,186.3757656478175,118.409248894515,73.86351798612367,63.829652446479145
135,medium,normal,135,Low Density,35.325,38.56532100333845,12.717,14.758396234038527,1.413,1.2673725780700615,313.827952973597,163.85040973076406,81.17078041219115,63.829652446479145
135,medium,normal,135,Medium Density,70.65,74.7403495153676,25.434,27.964450991914333,2.826,4.299768107936065,376.3289718801343,194.08687683767357,94.51737673284963,63.829652446479145
135,medium,normal,135,High Density,141.3,145.79089581834478,50.868,54.54020265680893,5.652,5.785831334667672,401.1404342084245,223.6194021139224,94.42631296712509,63.829652446479145
135,large,low,135,Low Density,4.415625,13.336771108873679,1.589625,47.23832498708177,0.176625,11.718984737450064,182.50149070241025,156.23368195244768,129.9544230996744,85.88817027949261
135,large,low,135,Medium Density,8.83125,24.041215316492362,3.17925,48.969201301672854,0.35325,9.586598504417905,253.74463340707473,218.0564864625515,151.64321298265304,85.88817027949261
135,large,low,135,High Density,17.6625,43.26246399630641,6.3585,44.26445766086778,0.7065,11.586832954003519,256.3932513250629,233.04839019448212,134.61337321523288,85.88817027949261
135,large,normal,135,Low Density,35.325,39.40284476408078,12.717,37.013050443972816,1.413,11.224455844235194,336.08528753445364,227.5816758276994,130.9945751702033,85.88817027949261
135,large,normal,135,Medium Density,70.65,74.82867677604759,25.434,32.08475545266301,2.826,14.963336843548497,398.62529417845616,231.1222730413349,139.04177913420847,85.88817027949261
135,large,normal,135,High Density,141.3,146.26516358818157,50.868,80.26404148090612,5.652,9.890484680483603,451.3783218863309,279.8205754161023,128.666856409278,85.88817027949261
