VENDOR,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_agat_large,calculated_agat_medium,calculated_agat_small,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_bkg
80,small,low,80-motion,Low Density,4.415625,2.039724683520112,1.589625,8.573184000000001,0.0,0.0,0.0,0.17662500000000003,0.0,0.0
80,small,low,80-motion,Medium Density,8.83125,0.0,3.17925,0.0,0.0,0.0,0.0,0.35325000000000006,0.0,0.0
80,small,low,80-motion,High Density,17.6625,9.711051322105654,6.3585,25.957696,3.095872,0.0,1.045621645199136,0.7065000000000001,0.0,0.0
80,small,normal,80-motion,Low Density,35.325,35.099628599365936,12.717,190.75334399999997,50.96281599999999,0.0,11.79628604317068,1.4130000000000003,0.0,0.0
80,small,normal,80-motion,Medium Density,70.65,72.99898259367387,25.434,322.923264,128.59776,5.715456,23.92500090619634,2.8260000000000005,1.2091686900418048,0.0
80,small,normal,80-motion,High Density,141.3,147.50130046921666,50.868,380.07782399999996,162.890496,31.435008000000003,50.429616540722755,5.652000000000001,4.775784332768041,0.0
80,medium,low,80-motion,Low Density,4.415625,0.0,1.589625,0.0,0.0,0.0,0.0,0.17662500000000003,0.0,0.0
80,medium,low,80-motion,Medium Density,8.83125,0.0,3.17925,0.0,0.0,0.0,0.0,0.35325000000000006,0.0,0.0
80,medium,low,80-motion,High Density,17.6625,10.233272781010752,6.3585,28.339136000000003,7.382464000000001,0.0,2.6283159406464986,0.7065000000000001,0.0,0.0
80,medium,normal,80-motion,Low Density,35.325,34.37515826746316,12.717,190.03891199999998,63.822592,1.905152,12.160611244653156,1.4130000000000003,0.44570775982518074,0.8412365003322948
80,medium,normal,80-motion,Medium Density,70.65,75.18419449085123,25.434,344.83251199999995,135.26579199999998,0.0,24.68681248719509,2.8260000000000005,0.0,0.0
80,medium,normal,80-motion,High Density,141.3,150.90812969369506,50.868,409.60767999999996,167.65337599999998,11.9072,51.95088687415509,5.652000000000001,3.1494713889633634,0.44739444955015784
80,large,low,80-motion,Low Density,4.415625,0.0,1.589625,0.0,0.0,0.0,0.0,0.17662500000000003,0.0,0.0
80,large,low,80-motion,Medium Density,8.83125,0.0,3.17925,0.0,0.0,0.0,0.0,0.35325000000000006,0.0,0.0
80,large,low,80-motion,High Density,17.6625,12.09980934955795,6.3585,32.625727999999995,8.811328,0.0,3.3775606613383395,0.7065000000000001,0.0,0.0
80,large,normal,80-motion,Low Density,35.325,34.583820948911246,12.717,198.37395199999997,49.533952,0.0,12.111326101814678,1.4130000000000003,0.0,0.0
80,large,normal,80-motion,Medium Density,70.65,71.33204269450269,25.434,311.492352,128.59776,4.286592,24.987181252163154,2.8260000000000005,1.694247198966871,0.0
80,large,normal,80-motion,High Density,141.3,145.0453498271533,50.868,361.97888,162.890496,27.862848,52.72285502285031,5.652000000000001,5.237765215606081,0.0
100,small,low,100-motion,Low Density,4.415625,0.0,1.589625,0.0,0.0,0.0,0.0,0.17662500000000003,0.0,0.0
100,small,low,100-motion,Medium Density,8.83125,0.0,3.17925,0.0,0.0,0.0,0.0,0.35325000000000006,0.0,0.0
100,small,low,100-motion,High Density,17.6625,14.284744354502791,6.3585,40.008192,10.002048,0.0,3.7404520083392354,0.7065000000000001,0.0,0.0
100,small,normal,100-motion,Low Density,35.325,34.97880906928126,12.717,192.65849599999999,65.013312,0.0,11.729429636256246,1.4130000000000003,0.0,1.9112633061494841
100,small,normal,100-motion,Medium Density,70.65,72.52855075575856,25.434,297.203712,127.645184,13.336064,26.34112889885507,2.8260000000000005,2.8491180003686374,1.1752011178586321
100,small,normal,100-motion,High Density,141.3,144.11396177547607,50.868,331.496448,142.88639999999998,36.197888,52.365635746741674,5.652000000000001,6.5616196511019345,1.6297147145447584
100,medium,low,100-motion,Low Density,4.415625,0.8957035280301271,1.589625,3.810304,0.0,0.952576,0.0,0.17662500000000003,0.35391937964223064,0.0
100,medium,low,100-motion,Medium Density,8.83125,0.0,3.17925,0.0,0.0,0.0,0.0,0.35325000000000006,0.0,0.0
