inserts,stanford_agat_large,calculated_agat_large,stanford_agat_medium,calculated_agat_medium,stanford_agat_small,calculated_agat_small
Low Density,138.6,188.610048,22.86,72.872064,0.0,0.0
Medium Density,238.38,300.06143999999995,69.54,122.882304,0.0,15.003072
High Density,402.94,340.069632,88.11,160.032768,6.19,40.008192
