inserts,stanford_agat_large,calculated_agat_large,stanford_agat_medium,calculated_agat_medium,stanford_agat_small,calculated_agat_small
Low Density,138.6,102.878208,22.86,37.150464,0.0,0.0
Medium Density,238.38,277.199616,69.54,108.59366399999999,0.0,7.1443200000000004
High Density,402.94,322.923264,88.11,140.028672,6.19,28.577280000000002
