inserts,stanford_agat_large,calculated_agat_large,stanford_agat_medium,calculated_agat_medium,stanford_agat_small,calculated_agat_small
Low Density,138.6,112.88025599999999,22.86,42.865919999999996,0.0,0.0
Medium Density,238.38,285.77279999999996,69.54,114.30912000000001,0.0,7.1443200000000004
High Density,402.94,328.63872,88.11,145.744128,6.19,34.292736
