inserts,stanford_agat_large,calculated_agat_large,stanford_agat_medium,calculated_agat_medium,stanford_agat_small,calculated_agat_small
Low Density,138.6,201.46982399999996,22.86,79.301952,0.0,5.715456
Medium Density,238.38,317.207808,69.54,131.455488,0.0,25.719552
High Density,402.94,351.500544,88.11,165.748224,6.19,40.008192
