kV,_25,_50,_100,_200,_400,_800
80,69.6734693877551,114.37868480725623,201.62585034013605,377.2766439909297,717.3832199546486,1375.267573696145
100,63.342403628117914,100.53061224489795,176.0793650793651,325.9705215419501,617.4761904761905,1179.3809523809523
120,58.074829931972786,92.85034013605443,160.6122448979592,296.9024943310658,561.7392290249433,1072.1156462585034
135,55.47845804988662,88.85034013605443,153.2312925170068,282.7482993197279,534.1201814058957,1019.6507936507936
