VENDOR,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_agat_large,calculated_agat_medium,calculated_agat_small,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_bkg
120,small,normal,120,Low Density,35.325,37.68588915875789,12.717,195.039936,75.01535999999999,2.857728,13.174140308463963,1.4130000000000003,1.021188854476882,0.0
120,small,normal,120,Medium Density,70.65,73.40176832265878,25.434,288.630528,125.74003200000001,17.146368,26.988332843828406,2.8260000000000005,2.8512879354134046,0.0
120,small,normal,120,High Density,141.3,146.4256163605899,50.868,337.211904,145.744128,28.577280000000002,52.28004483494324,5.652000000000001,5.565881299755102,0.0
120,medium,low,120,Low Density,4.415625,0.0,1.589625,0.0,0.0,0.0,0.0,0.17662500000000003,0.0,0.0
120,medium,low,120,Medium Density,8.83125,0.0,3.17925,0.0,0.0,0.0,0.0,0.35325000000000006,0.0,0.0
120,medium,low,120,High Density,17.6625,14.64879221349664,6.3585,78.58752,13.574207999999999,0.0,4.862075239570145,0.7065000000000001,0.0,0.0
120,medium,normal,120,Low Density,35.325,37.79016285086825,12.717,192.89664,47.152512,2.857728,12.355236233570729,1.4130000000000003,1.1113785258076017,0.0
120,medium,normal,120,Medium Density,70.65,74.18739794939098,25.434,291.488256,117.166848,15.003072,26.090228325847786,2.8260000000000005,2.7463398237734507,0.0
120,medium,normal,120,High Density,141.3,145.5510711998782,50.868,328.63872,145.744128,25.719552,52.79459619262333,5.652000000000001,5.505851541186104,0.0
120,large,low,120,Low Density,4.415625,0.0,1.589625,0.0,0.0,0.0,0.0,0.17662500000000003,0.0,0.0
120,large,low,120,Medium Density,8.83125,0.0,3.17925,0.0,0.0,0.0,0.0,0.35325000000000006,0.0,0.0
120,large,low,120,High Density,17.6625,16.310836006411197,6.3585,85.73183999999999,9.287616,0.0,3.3310862266614403,0.7065000000000001,0.0,0.0
120,large,normal,120,Low Density,35.325,37.221267837043065,12.717,188.610048,72.872064,3.5721600000000002,13.074638292953003,1.4130000000000003,1.2751684405910366,0.0
120,large,normal,120,Medium Density,70.65,73.12408475378834,25.434,288.630528,122.882304,17.146368,26.490542291286104,2.8260000000000005,3.0680619269050653,0.0
120,large,normal,120,High Density,141.3,144.39534643397639,50.868,325.780992,145.744128,28.577280000000002,52.26692366741093,5.652000000000001,6.039570629848931,0.0
135,small,low,135,Low Density,4.415625,0.0,1.589625,0.0,0.0,0.0,0.0,0.17662500000000003,0.0,0.0
135,small,low,135,Medium Density,8.83125,0.8217033775713889,3.17925,2.857728,0.0,0.0,0.0,0.35325000000000006,0.0,0.0
135,small,low,135,High Density,17.6625,16.849120177726622,6.3585,92.87616,14.288640000000001,0.0,4.817635140076017,0.7065000000000001,0.0,0.0
135,small,normal,135,Low Density,35.325,37.48844727028915,12.717,197.183232,81.44524799999999,2.857728,13.641339667332572,1.4130000000000003,1.1070549458688743,0.0
135,small,normal,135,Medium Density,70.65,74.53440905309573,25.434,297.203712,125.74003200000001,17.146368,26.70223259253025,2.8260000000000005,3.0317826937016896,0.0
135,small,normal,135,High Density,141.3,146.31968773909463,50.868,331.496448,145.744128,28.577280000000002,53.046102413829395,5.652000000000001,5.809514784324048,0.0
135,medium,low,135,Low Density,4.415625,0.0,1.589625,0.0,0.0,0.0,0.0,0.17662500000000003,0.0,0.0
135,medium,low,135,Medium Density,8.83125,2.295382700076005,3.17925,7.858752,0.0,0.0,0.0,0.35325000000000006,0.0,0.0
135,medium,low,135,High Density,17.6625,18.99780868508347,6.3585,102.878208,34.292736,0.0,6.157046719411646,0.7065000000000001,0.0,0.0
135,medium,normal,135,Low Density,35.325,36.839348356825205,12.717,190.75334399999997,81.44524799999999,0.0,13.08608313615827,1.4130000000000003,0.0,0.0
135,medium,normal,135,Medium Density,70.65,74.08870901956834,25.434,308.63462400000003,122.882304,17.146368,26.604480502824128,2.8260000000000005,2.9472851111588763,0.0
135,medium,normal,135,High Density,141.3,143.5266089958586,50.868,331.496448,142.88639999999998,25.719552,51.15203734541572,5.652000000000001,5.122580524982775,0.0
135,large,low,135,Low Density,4.415625,0.0,1.589625,0.0,0.0,0.0,0.0,0.17662500000000003,0.0,0.0
135,large,low,135,Medium Density,8.83125,1.8313164065782186,3.17925,5.715456,0.0,0.0,0.0,0.35325000000000006,0.0,0.0
135,large,low,135,High Density,17.6625,16.93923526701858,6.3585,47.152512,13.574207999999999,0.0,4.5544503496289535,0.7065000000000001,0.0,0.0
135,large,normal,135,Low Density,35.325,37.46566130641392,12.717,192.89664,79.301952,2.857728,13.483520964670944,1.4130000000000003,1.0097556500260287,0.0
135,large,normal,135,Medium Density,70.65,75.53469154254464,25.434,302.919168,125.74003200000001,19.289664000000002,26.574852125025977,2.8260000000000005,3.3948375369064907,0.0
135,large,normal,135,High Density,141.3,145.53258584768813,50.868,340.069632,145.744128,28.577280000000002,51.90392487163672,5.652000000000001,6.0070700796803305,0.0
