VENDER,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
120,large,normal,120-motion,High Density,141.3,147.01443812044786,50.868,53.11449062651,5.652,6.739737886221016
135,small,low,135-motion,Low Density,4.415625,0.0,1.589625,4.868422003939333,0.176625,2.529043168275123
135,small,low,135-motion,Medium Density,8.83125,3.4022524969939028,3.17925,0.0,0.35325,0.0
135,small,low,135-motion,High Density,17.6625,14.243713056983914,6.3585,5.055476473187,0.7065,0.0
135,small,normal,135-motion,Low Density,35.325,131.74281546466133,12.717,100.62301338729637,1.413,0.0
135,small,normal,135-motion,Medium Density,70.65,335.10076457466903,25.434,102.31668582391669,2.826,0.0
135,small,normal,135-motion,High Density,141.3,260.33385848278573,50.868,73.92903093045614,5.652,4.411845024859682
135,medium,low,135-motion,Low Density,4.415625,0.0,1.589625,0.0,0.176625,0.0
135,medium,low,135-motion,Medium Density,8.83125,0.0,3.17925,0.0,0.35325,0.0
135,medium,low,135-motion,High Density,17.6625,16.177781954890538,6.3585,4.644270690291471,0.7065,0.0
135,medium,normal,135-motion,Low Density,35.325,35.932826924012154,12.717,11.301106675020568,1.413,0.0
135,medium,normal,135-motion,Medium Density,70.65,74.12174503897177,25.434,27.060474406751958,2.826,3.304115245323511
135,medium,normal,135-motion,High Density,141.3,145.63002669987168,50.868,51.74496871868969,5.652,5.9451129171064006
135,large,low,135-motion,Low Density,4.415625,0.0,1.589625,0.0,0.176625,0.0
135,large,low,135-motion,Medium Density,8.83125,0.0,3.17925,0.0,0.35325,0.0
135,large,low,135-motion,High Density,17.6625,12.539320966469774,6.3585,2.5258177410000178,0.7065,0.0
135,large,normal,135-motion,Low Density,35.325,52.05540403540748,12.717,11.50335248887218,1.413,0.0
135,large,normal,135-motion,Medium Density,70.65,75.29332542749917,25.434,26.310544533137296,2.826,2.2211084056323807
135,large,normal,135-motion,High Density,141.3,148.38566976434237,50.868,53.016531607575885,5.652,5.162064311597643
